Year,Month,Day,Hour,Minute,GHI,Temperature
2015,1,1,0,30,0,-21
2015,1,1,1,30,0,-20
2015,1,1,2,30,0,-19
2015,1,1,3,30,0,-18
2015,1,1,4,30,0,-18
2015,1,1,5,30,0,-17
2015,1,1,6,30,0,-17
2015,1,1,7,30,0,-18
2015,1,1,8,30,76,-17
2015,1,1,9,30,240,-15
2015,1,1,10,30,379,-12
2015,1,1,11,30,469,-10
2015,1,1,12,30,499,-9
2015,1,1,13,30,467,-8
2015,1,1,14,30,377,-8
2015,1,1,15,30,239,-9
2015,1,1,16,30,78,-11
2015,1,1,17,30,0,-12
2015,1,1,18,30,0,-13
2015,1,1,19,30,0,-13
2015,1,1,20,30,0,-14
2015,1,1,21,30,0,-15
2015,1,1,22,30,0,-15
2015,1,1,23,30,0,-15
2015,1,2,0,30,0,-15
2015,1,2,1,30,0,-15
2015,1,2,2,30,0,-15
2015,1,2,3,30,0,-16
2015,1,2,4,30,0,-15
2015,1,2,5,30,0,-15
2015,1,2,6,30,0,-15
2015,1,2,7,30,0,-14
2015,1,2,8,30,70,-13
2015,1,2,9,30,228,-11
2015,1,2,10,30,364,-9
2015,1,2,11,30,453,-7
2015,1,2,12,30,485,-6
2015,1,2,13,30,456,-6
2015,1,2,14,30,370,-6
2015,1,2,15,30,236,-6
2015,1,2,16,30,79,-8
2015,1,2,17,30,0,-9
2015,1,2,18,30,0,-11
2015,1,2,19,30,0,-12
2015,1,2,20,30,0,-12
2015,1,2,21,30,0,-12
2015,1,2,22,30,0,-12
2015,1,2,23,30,0,-12
2015,1,3,0,30,0,-12
2015,1,3,1,30,0,-12
2015,1,3,2,30,0,-12
2015,1,3,3,30,0,-11
2015,1,3,4,30,0,-11
2015,1,3,5,30,0,-11
2015,1,3,6,30,0,-11
2015,1,3,7,30,0,-10
2015,1,3,8,30,8,-9
2015,1,3,9,30,72,-7
2015,1,3,10,30,95,-5
2015,1,3,11,30,248,-4
2015,1,3,12,30,234,-3
2015,1,3,13,30,281,-3
2015,1,3,14,30,250,-3
2015,1,3,15,30,92,-3
2015,1,3,16,30,83,-5
2015,1,3,17,30,0,-6
2015,1,3,18,30,0,-8
2015,1,3,19,30,0,-9
2015,1,3,20,30,0,-10
2015,1,3,21,30,0,-11
2015,1,3,22,30,0,-12
2015,1,3,23,30,0,-12
2015,1,4,0,30,0,-12
2015,1,4,1,30,0,-12
2015,1,4,2,30,0,-13
2015,1,4,3,30,0,-12
2015,1,4,4,30,0,-12
2015,1,4,5,30,0,-11
2015,1,4,6,30,0,-10
2015,1,4,7,30,0,-9
2015,1,4,8,30,29,-7
2015,1,4,9,30,47,-4
2015,1,4,10,30,141,-2
2015,1,4,11,30,307,0
2015,1,4,12,30,369,0
2015,1,4,13,30,265,0
2015,1,4,14,30,232,0
2015,1,4,15,30,42,0
2015,1,4,16,30,27,0
2015,1,4,17,30,0,-1
2015,1,4,18,30,0,-2
2015,1,4,19,30,0,-3
2015,1,4,20,30,0,-4
2015,1,4,21,30,0,-4
2015,1,4,22,30,0,-5
2015,1,4,23,30,0,-5
2015,1,5,0,30,0,-6
2015,1,5,1,30,0,-5
2015,1,5,2,30,0,-4
2015,1,5,3,30,0,-4
2015,1,5,4,30,0,-4
2015,1,5,5,30,0,-4
2015,1,5,6,30,0,-3
2015,1,5,7,30,0,-3
2015,1,5,8,30,7,-2
2015,1,5,9,30,22,0
2015,1,5,10,30,157,0
2015,1,5,11,30,105,1
2015,1,5,12,30,236,1
2015,1,5,13,30,149,1
2015,1,5,14,30,266,1
2015,1,5,15,30,39,2
2015,1,5,16,30,28,2
2015,1,5,17,30,0,3
2015,1,5,18,30,0,3
2015,1,5,19,30,0,3
2015,1,5,20,30,0,3
2015,1,5,21,30,0,2
2015,1,5,22,30,0,1
2015,1,5,23,30,0,1
2015,1,6,0,30,0,0
2015,1,6,1,30,0,0
2015,1,6,2,30,0,0
2015,1,6,3,30,0,0
2015,1,6,4,30,0,0
2015,1,6,5,30,0,0
2015,1,6,6,30,0,0
2015,1,6,7,30,0,0
2015,1,6,8,30,68,0
2015,1,6,9,30,220,1
2015,1,6,10,30,256,2
2015,1,6,11,30,354,3
2015,1,6,12,30,399,3
2015,1,6,13,30,361,4
2015,1,6,14,30,367,4
2015,1,6,15,30,239,4
2015,1,6,16,30,86,3
2015,1,6,17,30,0,3
2015,1,6,18,30,0,2
2015,1,6,19,30,0,1
2015,1,6,20,30,0,1
2015,1,6,21,30,0,0
2015,1,6,22,30,0,0
2015,1,6,23,30,0,0
2015,1,7,0,30,0,0
2015,1,7,1,30,0,0
2015,1,7,2,30,0,0
2015,1,7,3,30,0,0
2015,1,7,4,30,0,0
2015,1,7,5,30,0,0
2015,1,7,6,30,0,0
2015,1,7,7,30,0,0
2015,1,7,8,30,69,0
2015,1,7,9,30,221,0
2015,1,7,10,30,354,1
2015,1,7,11,30,438,2
2015,1,7,12,30,472,3
2015,1,7,13,30,447,4
2015,1,7,14,30,366,5
2015,1,7,15,30,239,4
2015,1,7,16,30,86,4
2015,1,7,17,30,0,3
2015,1,7,18,30,0,1
2015,1,7,19,30,0,1
2015,1,7,20,30,0,1
2015,1,7,21,30,0,1
2015,1,7,22,30,0,1
2015,1,7,23,30,0,1
2015,1,8,0,30,0,0
2015,1,8,1,30,0,0
2015,1,8,2,30,0,0
2015,1,8,3,30,0,0
2015,1,8,4,30,0,0
2015,1,8,5,30,0,0
2015,1,8,6,30,0,0
2015,1,8,7,30,0,0
2015,1,8,8,30,68,0
2015,1,8,9,30,221,1
2015,1,8,10,30,354,2
2015,1,8,11,30,444,3
2015,1,8,12,30,478,4
2015,1,8,13,30,453,4
2015,1,8,14,30,370,3
2015,1,8,15,30,241,3
2015,1,8,16,30,88,2
2015,1,8,17,30,0,1
2015,1,8,18,30,0,1
2015,1,8,19,30,0,0
2015,1,8,20,30,0,0
2015,1,8,21,30,0,0
2015,1,8,22,30,0,0
2015,1,8,23,30,0,0
2015,1,9,0,30,0,0
2015,1,9,1,30,0,-1
2015,1,9,2,30,0,-1
2015,1,9,3,30,0,-2
2015,1,9,4,30,0,-2
2015,1,9,5,30,0,-2
2015,1,9,6,30,0,-2
2015,1,9,7,30,0,-2
2015,1,9,8,30,66,-1
2015,1,9,9,30,140,0
2015,1,9,10,30,240,1
2015,1,9,11,30,333,2
2015,1,9,12,30,473,3
2015,1,9,13,30,336,3
2015,1,9,14,30,250,3
2015,1,9,15,30,152,2
2015,1,9,16,30,61,1
2015,1,9,17,30,0,1
