Year,Month,Day,Hour,Minute,GHI,Temperature
2011,1,1,0,30,0,-21
2011,1,1,1,30,0,-22
2011,1,1,2,30,0,-22
2011,1,1,3,30,0,-23
2011,1,1,4,30,0,-23
2011,1,1,5,30,0,-23
2011,1,1,6,30,0,-24
2011,1,1,7,30,0,-24
2011,1,1,8,30,41,-22
2011,1,1,9,30,98,-19
2011,1,1,10,30,378,-16
2011,1,1,11,30,466,-13
2011,1,1,12,30,499,-11
2011,1,1,13,30,469,-10
2011,1,1,14,30,380,-10
2011,1,1,15,30,242,-11
2011,1,1,16,30,80,-13
2011,1,1,17,30,0,-16
2011,1,1,18,30,0,-19
2011,1,1,19,30,0,-20
2011,1,1,20,30,0,-21
2011,1,1,21,30,0,-21
2011,1,1,22,30,0,-21
2011,1,1,23,30,0,-22
2011,1,2,0,30,0,-22
2011,1,2,1,30,0,-22
2011,1,2,2,30,0,-22
2011,1,2,3,30,0,-21
2011,1,2,4,30,0,-20
2011,1,2,5,30,0,-19
2011,1,2,6,30,0,-18
2011,1,2,7,30,0,-17
2011,1,2,8,30,11,-15
2011,1,2,9,30,229,-12
2011,1,2,10,30,364,-9
2011,1,2,11,30,452,-7
2011,1,2,12,30,482,-5
2011,1,2,13,30,203,-5
2011,1,2,14,30,364,-5
2011,1,2,15,30,130,-5
2011,1,2,16,30,14,-7
2011,1,2,17,30,0,-8
2011,1,2,18,30,0,-10
2011,1,2,19,30,0,-11
2011,1,2,20,30,0,-11
2011,1,2,21,30,0,-11
2011,1,2,22,30,0,-11
2011,1,2,23,30,0,-12
2011,1,3,0,30,0,-12
2011,1,3,1,30,0,-13
2011,1,3,2,30,0,-13
2011,1,3,3,30,0,-13
2011,1,3,4,30,0,-13
2011,1,3,5,30,0,-13
2011,1,3,6,30,0,-13
2011,1,3,7,30,0,-13
2011,1,3,8,30,17,-12
2011,1,3,9,30,76,-9
2011,1,3,10,30,182,-7
2011,1,3,11,30,161,-5
2011,1,3,12,30,197,-4
2011,1,3,13,30,456,-4
2011,1,3,14,30,369,-4
2011,1,3,15,30,234,-5
2011,1,3,16,30,78,-7
2011,1,3,17,30,0,-8
2011,1,3,18,30,0,-9
2011,1,3,19,30,0,-10
2011,1,3,20,30,0,-11
2011,1,3,21,30,0,-11
2011,1,3,22,30,0,-11
2011,1,3,23,30,0,-11
2011,1,4,0,30,0,-12
2011,1,4,1,30,0,-12
2011,1,4,2,30,0,-12
2011,1,4,3,30,0,-12
2011,1,4,4,30,0,-12
2011,1,4,5,30,0,-12
2011,1,4,6,30,0,-12
2011,1,4,7,30,0,-12
2011,1,4,8,30,22,-11
2011,1,4,9,30,73,-10
2011,1,4,10,30,71,-8
2011,1,4,11,30,223,-6
2011,1,4,12,30,317,-5
2011,1,4,13,30,167,-5
2011,1,4,14,30,187,-5
2011,1,4,15,30,238,-5
2011,1,4,16,30,80,-6
2011,1,4,17,30,0,-8
2011,1,4,18,30,0,-9
2011,1,4,19,30,0,-11
2011,1,4,20,30,0,-12
2011,1,4,21,30,0,-13
2011,1,4,22,30,0,-14
2011,1,4,23,30,0,-15
2011,1,5,0,30,0,-14
2011,1,5,1,30,0,-14
2011,1,5,2,30,0,-15
2011,1,5,3,30,0,-15
2011,1,5,4,30,0,-15
2011,1,5,5,30,0,-15
2011,1,5,6,30,0,-14
2011,1,5,7,30,0,-13
2011,1,5,8,30,16,-12
2011,1,5,9,30,24,-9
2011,1,5,10,30,302,-7
2011,1,5,11,30,359,-5
2011,1,5,12,30,487,-3
2011,1,5,13,30,461,-3
2011,1,5,14,30,377,-3
2011,1,5,15,30,244,-3
2011,1,5,16,30,86,-5
